x,y,theta,stamp
-0.8169139048813882,-3.060224284063182,0.016594762283415825,1422294000000
-0.8169139225115742,-3.0602242844355123,0.016594762987816192,1422328000000
-0.8169139313127762,-3.0602242845107965,0.016594763785008182,1422362000000
-0.8169139294664484,-3.0602242844809173,0.01659476475856178,1422396000000
-0.8169139171522383,-3.060224284366517,0.016594765833864777,1422430000000
-0.8169138991741046,-3.0602242840581693,0.016594766888805616,1422464000000
-0.8169138925181327,-3.06022428388601,0.016594767938327235,1422498000000
-0.81691388958454,-3.0602242839171705,0.016594768874191115,1422532000000
-0.816913899792768,-3.0602242840463387,0.016594769673441423,1422566000000
-0.8169139176726349,-3.0602242843882492,0.016594770394502387,1422600000000
-0.816913926771021,-3.0602242844679743,0.01659477121655975,1422634000000
-0.8169139252120745,-3.0602242844426946,0.01659477216196374,1422668000000
-0.8169139131841718,-3.060224284332867,0.0165947732250035,1422702000000
-0.8169138954941715,-3.0602242840291414,0.016594774292906775,1422736000000
-0.8169138729695954,-3.0602242836450886,0.016594775425800002,1422770000000
-0.816913857791622,-3.0602242834223925,0.01659477660024487,1422804000000
-0.8169138639243603,-3.060224283477371,0.01659477742448269,1422838000000
-0.8169138691169012,-3.060224283619388,0.016594778223294967,1422872000000
-0.8169138871978754,-3.060224283811515,0.016594778981589883,1422906000000
-0.8169139015908815,-3.0602242841572815,0.016594779743892646,1422940000000
-0.8169139136551502,-3.0602242843513334,0.01659478052004143,1422974000000
-0.8169139154244268,-3.0602242843502743,0.016594781452260336,1423008000000
-0.8169139068831728,-3.060224284146277,0.01659478248442316,1423042000000
-0.8169138875899825,-3.0602242838951614,0.016594783604898196,1423076000000
-0.8169138597958835,-3.0602242834741693,0.016594784769649505,1423110000000
-0.8169138465248833,-3.0602242832155118,0.016594785888181588,1423144000000
-0.8169138341441549,-3.060224283059434,0.016594786896456992,1423178000000
-0.8169138418019484,-3.0602242831534716,0.016594787743327212,1423212000000
-0.8169138549136897,-3.0602242833921416,0.016594788473771986,1423246000000
-0.816913870641227,-3.060224283694399,0.016594789301776474,1423280000000
-0.8169138792521098,-3.0602242838275346,0.016594790061975014,1423314000000
-0.8169138829195218,-3.0602242838863773,0.016594790947976654,1423348000000
-0.8169138775693235,-3.0602242837765368,0.016594791967750686,1423382000000
-0.8169138619429417,-3.0602242834675146,0.016594793043820038,1423416000000
-0.8169138370574713,-3.0602242830972695,0.01659479423914333,1423450000000
-0.8169138335187391,-3.0602242830638144,0.016594795232094225,1423484000000
-0.8169138291770863,-3.0602242830214266,0.016594796125267514,1423518000000
-0.8169138432322025,-3.0602242831854602,0.0165947968867451,1423552000000
-0.816913847964367,-3.0602242833321607,0.01659479775466744,1423586000000
-0.8169138520235101,-3.0602242833977646,0.016594798618419733,1423620000000
-0.8169138470853028,-3.0602242832952724,0.016594799609988616,1423654000000
-0.8169138318686863,-3.0602242829934827,0.01659480069897757,1423688000000
-0.8169138093289323,-3.0602242827079262,0.016594801867717713,1423722000000
-0.8169138149390585,-3.0602242826929933,0.01659480276133304,1423756000000
-0.816913823884202,-3.0602242829586626,0.01659480353340372,1423790000000
-0.8169138341905533,-3.0602242830983486,0.0165948043663082,1423824000000
-0.8169138436761875,-3.060224283293939,0.01659480515372953,1423858000000
-0.8169138480368183,-3.0602242833648963,0.0165948060190114,1423892000000
-0.8169138433841571,-3.060224283266907,0.0165948070164563,1423926000000
-0.8169138284520101,-3.060224282969652,0.01659480809752179,1423960000000
-0.8169138042583078,-3.0602242826111286,0.01659480929194049,1423994000000
-0.8169138014069349,-3.0602242825892962,0.016594810270496644,1424028000000
-0.8169137977499329,-3.060224282558468,0.016594811155839783,1424062000000
-0.8169138124859388,-3.060224282734,0.016594811915276935,1424096000000
-0.8169138178964782,-3.0602242828921105,0.016594812776144857,1424130000000
-0.816913822630539,-3.0602242829690653,0.016594813630931023,1424164000000
-0.8169138183642785,-3.0602242828778605,0.016594814616794153,1424198000000
-0.8169138038166704,-3.0602242825872956,0.016594815700359287,1424232000000
-0.8169137819432318,-3.0602242823129076,0.01659481686185439,1424266000000
-0.8169137882167082,-3.0602242823090795,0.016594817748552374,1424300000000
-0.8169137978226518,-3.060224282585798,0.01659481851464555,1424334000000
-0.8169138087871193,-3.0602242827364825,0.01659481934119011,1424368000000
-0.8169138189282364,-3.0602242829430115,0.016594820121864324,1424402000000
-0.8169138239418124,-3.0602242830248554,0.016594820980738452,1424436000000
-0.8169138199396091,-3.0602242829377015,0.016594821971941294,1424470000000
-0.8169138056554924,-3.060224282651231,0.016594823046566023,1424504000000
-0.8169137808928663,-3.0602242822334063,0.016594824212829266,1424538000000
-0.8169137651909807,-3.0602242820618635,0.01659482532333995,1424572000000
-0.8169137571378128,-3.0602242819383934,0.016594826332122743,1424606000000
-0.8169137743536191,-3.0602242821582495,0.016594827042234236,1424640000000
-0.8169137804486705,-3.0602242823257093,0.016594827849619197,1424674000000
-0.8169137858716172,-3.0602242824145445,0.01659482870204495,1424708000000
-0.8169137822922797,-3.060224282335088,0.016594829706312514,1424742000000
-0.8169137684278374,-3.060224282056191,0.016594830775102334,1424776000000
-0.8169137472361583,-3.0602242817934204,0.016594831918633916,1424810000000
-0.8169137541847463,-3.060224281801078,0.016594832806393813,1424844000000
-0.8169137644646537,-3.060224282089262,0.016594833570530203,1424878000000
-0.8169137760991104,-3.0602242822513195,0.016594834385400145,1424912000000
-0.8169137869066906,-3.0602242824691457,0.016594835158503483,1424946000000
-0.8169137925834783,-3.060224282562218,0.01659483601413435,1424980000000
