error, error_dot, error_int, stamp, 
0.04150196274953899, -0.006842041633410958, 0.014961408323663503, 185446000000, 
0.041510288321401245, 2.1451352689803508e-05, 0.014537523045677266, 185548000000, 
0.04151452211653639, 4.1043682998039256e-05, 0.01425457649213359, 185650000000, 
0.04151438264778606, 1.3380151584372888e-05, 0.014113051842906376, 185752000000, 
0.04151280702236859, -5.604882901300376e-06, 0.014113669474318925, 185854000000, 
0.04151172068471587, -8.69922571958844e-06, 0.014114333013910954, 185956000000, 
0.041511700013680985, -3.651451650484563e-06, 0.01176202417415498, 186024000000, 
0.0415122763572382, 1.7821470747938017e-06, 0.011761896914461415, 186126000000, 
0.04151259618664982, 2.928669832790622e-06, 0.014114154817996433, 186228000000, 
0.04151210447200393, -5.617164518563141e-07, 0.014114107044571637, 186330000000, 
0.04151109575197942, -4.903381275811759e-06, 0.014114064549145558, 186432000000, 
0.03940879202375991, -0.006873570092300724, 0.013971066805830925, 186534000000, 
0.037281986320830796, -0.013820619056041261, 0.013683407083355222, 186636000000, 
0.03514206814787313, -0.013943542078061371, 0.013250211176718407, 186738000000, 
0.032989436990537024, -0.014027938987888141, 0.012670669787978657, 186840000000, 
0.03082412703648718, -0.01411091866465996, 0.011943955915325185, 186942000000, 
0.028644450353849882, -0.01419930273427171, 0.011211980681771302, 187044000000, 
0.026449729410836897, -0.014295417077288508, 0.010475387211891719, 187146000000, 
0.024238845359613737, -0.014397401941948188, 0.00973396806229008, 187248000000, 
0.022012629181199173, -0.014500327547835703, 0.008987545131255105, 187350000000, 
0.022008761986725855, -0.007287854159764319, 0.008388100307871335, 187452000000, 
0.022015528935157902, 9.476320126566777e-06, 0.00793733365140028, 187554000000, 
0.022020955394625452, 4.87145020698423e-05, 0.006363480848581586, 187622000000, 
0.02202103687840895, 2.68665783817765e-05, 0.006237805034646648, 187724000000, 
0.022021291021282252, 1.0968191398692192e-06, 0.007485955046701627, 187826000000, 
0.022020301100189377, -2.4045039855353722e-06, 0.007486739706417146, 187928000000, 
0.022018984818135023, -7.536611592250771e-06, 0.007486974706459591, 188030000000, 
0.019781660712503313, -0.007315818260411974, 0.007334702668075285, 188132000000, 
0.017519213644413667, -0.014705134554644955, 0.007028578688163606, 188234000000, 
0.015241996493704724, -0.014835503983001925, 0.006567586660288334, 188336000000, 
0.012950551452831971, -0.014930268599940184, 0.005950843684268031, 188438000000, 
0.010644441445476271, -0.015024689700092983, 0.005177374734927236, 188540000000, 
0.008322456313482163, -0.01512449391944382, 0.004398148835793797, 188642000000, 
0.005985006303750207, -0.015226912227862958, 0.003613822736628682, 188744000000, 
0.0036308554490357414, -0.015332028968779157, 0.0028242651455911917, 188846000000, 
0.0012590483460304114, -0.015444307051371882, 0.0020292429343286857, 188948000000, 
-0.0011301287871331445, -0.01555877201362381, 0.0012285721585112456, 189050000000, 
-0.0035358676985564053, -0.015669660276427508, 0.000422206125692623, 189152000000, 
-0.005971863898708185, -0.01980304971127755, -0.00032571754006212295, 189220000000, 
-0.005950836976099549, -0.01187244241051972, -0.0008686801108197895, 189322000000, 
-0.005946981805685314, 8.131402948650665e-05, -0.0015324261833004164, 189424000000, 
-0.005948969059900611, 6.104301303721502e-06, -0.0018601073218486041, 189526000000, 
-0.008385615933332091, -0.007969392574009077, -0.0021898902018133506, 189628000000, 
-0.010849673403691251, -0.016015373672518433, -0.002521581248152199, 189730000000, 
-0.013330860216228868, -0.016160929029074438, -0.003023422828480993, 189832000000, 
-0.015827149676093444, -0.01626626232811174, -0.0036952742436687455, 189934000000, 
-0.01833878034402059, -0.01636575205160693, -0.004537781410988904, 190036000000, 
-0.02086636717089696, -0.01646803102876966, -0.005386472495143315, 190138000000, 
-0.02341303630784708, -0.016582535829498337, -0.006240781172625911, 190240000000, 
-0.025979805924413957, -0.016710584161820252, -0.007100909480782497, 190342000000, 
-0.028566556160914414, -0.01684156814727887, -0.007967189121750323, 190444000000, 
-0.031172086885507988, -0.016968238434947814, -0.008839853966571465, 190546000000, 
-0.033795074216135035, -0.017086660311178503, -0.009719006045647655, 190648000000, 
-0.036448425294167586, -0.021578476953189128, -0.008837843747264542, 190716000000, 
-0.03910861672935245, -0.021700058994227753, -0.009581809692877722, 190818000000, 
-0.04179060372866461, -0.017458099459140605, -0.01239740686606028, 190920000000, 
-0.04449271788468134, -0.0175951018148003, -0.013303209774004067, 191022000000, 
-0.04721505067463988, -0.017726950803840753, -0.014215768173182397, 191124000000, 
-0.049935396685467814, -0.01778653202871396, -0.015132882227790813, 191226000000, 
-0.052702267548133064, -0.01793208128592544, -0.016057250483467893, 191328000000, 
-0.05549388394950294, -0.01816499105893833, -0.0169890735384849, 191430000000, 
-0.0583010813922617, -0.018296777268394238, -0.017928042257000364, 191532000000, 
-0.06112792948241719, -0.018411913506255703, -0.018874118015929222, 191634000000, 
-0.06397491926745175, -0.018541953840490347, -0.01982880555150413, 191736000000, 
-0.06684386207846454, -0.018679518287736462, -0.020790433979566668, 191838000000, 
-0.06973460489090283, -0.018822502037421838, -0.02175880300358186, 191940000000, 
