x, y, theta, stamp, 
3.89301021641586e-06, -4.4823900680057704e-06, 1.7084825230995193e-05, 1709259502977142107, 
3.89301021641586e-06, -4.4823900680057704e-06, 1.7083770217141137e-05, 1709259503026551076, 
3.89301021641586e-06, -4.4823900680057704e-06, 1.7083762941183522e-05, 1709259503077101997, 
3.89301021641586e-06, -4.4823900680057704e-06, 1.7090504115913063e-05, 1709259503126549745, 
3.89301021641586e-06, -4.4823900680057704e-06, 1.7109599866671488e-05, 1709259503216767636, 
3.89301021641586e-06, -4.4823900680057704e-06, 1.7131291315308772e-05, 1709259503266929209, 
3.89301021641586e-06, -4.4823900680057704e-06, 1.7156860849354416e-05, 1709259503336287653, 
3.89301021641586e-06, -4.4823900680057704e-06, 1.7161293726530857e-05, 1709259503376825515, 
1.3601088539871853e-05, 5.5950149544514716e-06, 1.7161293726530857e-05, 1709259503426400383, 
0.0011009301524609327, -0.00013088478590361774, 0.0050026895478367805, 1709259503477068213, 
0.004233057145029306, 0.00023934559430927038, 0.014886279590427876, 1709259503526559801, 
0.009023054502904415, 0.00037817563861608505, 0.02658637799322605, 1709259503577051403, 
0.013525156304240227, 0.0008578889537602663, 0.03784908726811409, 1709259503616703316, 
0.019769443199038506, 0.0021560508757829666, 0.05527690425515175, 1709259503666599881, 
0.028623593971133232, 0.0030848532915115356, 0.07694265991449356, 1709259503716588359, 
0.03967047482728958, 0.0054202754981815815, 0.1062549576163292, 1709259503777116644, 
0.04880748689174652, 0.007801349740475416, 0.13078993558883667, 1709259503826624987, 
0.05822829157114029, 0.01033318042755127, 0.15460006892681122, 1709259503877033931, 
0.11567707359790802, 0.03998188674449921, 0.31406155228614807, 1709259504226571314, 
0.14294812083244324, 0.06369292736053467, 0.3920132517814636, 1709259504416576580, 
0.15569913387298584, 0.07746528834104538, 0.4298155605792999, 1709259504516554551, 
0.16859690845012665, 0.09491287171840668, 0.47299498319625854, 1709259504626941682, 
0.17815664410591125, 0.11044557392597198, 0.507733941078186, 1709259504726563900, 
0.18527831137180328, 0.12417363375425339, 0.5370376110076904, 1709259504816594904, 
0.19363315403461456, 0.14265279471874237, 0.5473490953445435, 1709259504916579042, 
0.20193538069725037, 0.16057470440864563, 0.5422794222831726, 1709259505027092942, 
0.20928573608398438, 0.17830932140350342, 0.5665318369865417, 1709259505126560635, 
0.21510516107082367, 0.19448019564151764, 0.5896589159965515, 1709259505216612168, 
0.2202211171388626, 0.2134702056646347, 0.6071762442588806, 1709259505316593858, 
0.2265496551990509, 0.234914168715477, 0.6043974757194519, 1709259505426628229, 
0.2320905327796936, 0.2534797787666321, 0.5984728336334229, 1709259505526566538, 
0.23660169541835785, 0.27055203914642334, 0.6089031100273132, 1709259505616604054, 
0.24130816757678986, 0.2892669141292572, 0.6245288848876953, 1709259505716565034, 
0.24538859724998474, 0.31094247102737427, 0.6357419490814209, 1709259505826564716, 
0.2487105429172516, 0.33042508363723755, 0.6416302919387817, 1709259505926890638, 
