error, error_dot, error_int, stamp, 
1.130678486042486, 7.165537406947977e-09, 0.11302249705453557, 1709259503077101997, 
1.1306784793013114, -4.539510781620702e-08, 0.150755124634557, 1709259503126549745, 
1.1306784602055606, -1.1599727589160915e-07, 0.2631948871946531, 1709259503216767636, 
1.130678438514112, -2.146980527863774e-07, 0.2645400626295177, 1709259503266929209, 
1.130678412944578, -2.67029808617411e-07, 0.22523118035189021, 1709259503336287653, 
1.1306784085117008, -1.5933645569927038e-07, 0.20709563969725542, 1709259503376825515, 
1.1306855815799295, 4.819409128250761e-05, 0.16981441495377209, 1709259503426400383, 
1.1273655113465604, -0.021793835277677694, 0.18879329998245448, 1709259503477068213, 
1.1217753581775112, -0.05949259321178272, 0.18833921113699098, 1709259503526559801, 
1.1169703708032461, -0.06937189083980964, 0.1875509750610905, 1709259503577051403, 
1.1120009504356567, -0.07349673645063866, 0.16853224870771968, 1709259503616703316, 
1.1029669735482015, -0.10212673444759694, 0.16659238158719256, 1709259503666599881, 
1.0939585819887832, -0.12042114765544505, 0.1847098265794088, 1709259503716588359, 
1.0799614570320937, -0.13715289403234163, 0.20282988019634388, 1709259503777116644, 
1.0680653170516774, -0.157178294878452, 0.2001549126969824, 1709259503826624987, 
0.8899436083218573, -1.2579397955444367, 0.17435219994884874, 1709259503877033931, 
0.7859960130709418, -1.276973342929374, 0.655635343732942, 1709259504226571314, 
0.7308766853614259, -0.19582662931251615, 0.8191773672048843, 1709259504416576580, 
0.7026790015512712, -0.19071088435911543, 0.40380751763493905, 1709259504516554551, 
0.6672088172996682, -0.20112144174594151, 0.26482891620225035, 1709259504626941682, 
0.4636492278879718, -0.7882135092694408, 0.23453912315555878, 1709259504726563900, 
0.43130971678642593, -0.8008397767743265, 0.18938286810077565, 1709259504816594904, 
0.4149614424159599, -0.1742376129126552, 0.16973471226156692, 1709259504916579042, 
0.4140596995124771, -0.05722274076988292, 0.16778019091961582, 1709259505027092942, 
0.3822217652114691, -0.10941423699268578, 0.14742120667450584, 1709259505126560635, 
0.35039687176585355, -0.22449691268184038, 0.12590074862689113, 1709259505216612168, 
0.31932142331278834, -0.22140632134087626, 0.11914837319851516, 1709259505316593858, 
0.3064720018580267, -0.14252927600791324, 0.12408251253923105, 1709259505426628229, 
0.2978764360169903, -0.06759505065848125, 0.11592511160430236, 1709259505526566538, 
0.2721388513689923, -0.1239542413832611, 0.09791389383376757, 1709259505616604054, 
0.23807210658553912, -0.20888481142092283, 0.090811733026764, 1709259505716565034, 
0.20127334661997998, -0.2251118589257953, 0.09209103789532617, 1709259505826564716, 
0.16979012937641402, -0.21611484906114845, 0.08266853964437579, 1709259505926890638, 
0.00014141027740288692, -0.7346785010572603, 0.05584545371695719, 1709259506016641128, 
-0.034044937362409766, -0.7440245799276112, 0.03638441000653138, 1709259506116645762, 
-0.07600851042717682, -0.24098210321094293, 0.01829076192226518, 1709259506226757856, 
-0.11426535553907269, -0.2547877343148095, -0.0038058480505323887, 1709259506326576238, 
-0.1472384769102193, -0.24974012120067077, -0.023513069723038658, 1709259506416677606, 
-0.18492404151084169, -0.24770039888058137, -0.0352483709162986, 1709259506516600788, 
-0.22410254690509623, -0.24444996105040365, -0.05223582049399281, 1709259506626589581, 
-0.2438760577267885, -0.18481051998926748, -0.06392939635571948, 1709259506726341416, 
-0.2600957841165402, -0.12590146091964774, -0.06719210191312158, 1709259506816713415, 
-0.29077823042487433, -0.16222487813822906, -0.07633975803111244, 1709259506916592051, 
-0.32435824631024546, -0.20413239520599513, -0.0939821978134166, 1709259507026618353, 
-0.3551735650131824, -0.20449213005334277, -0.103193000771761, 1709259507126578354, 
-0.3826130533618269, -0.20428631226450875, -0.10218413950391092, 1709259507216667225, 
-0.413896833185072, -0.20571944125771643, -0.1120002841907291, 1709259507316751018, 
-0.4500232082175525, -0.21364106784971573, -0.13489431448535294, 1709259507426775899, 
-0.4849781854242974, -0.22619107306535843, -0.14595096448064443, 1709259507526582845, 
-0.4615482831815887, -0.030065194261567525, -0.13882903980765604, 1709259507616687348, 
-0.4802612912313951, 0.02424734882378683, -0.1450934634368756, 1709259507716602886, 
-0.4988312222946544, -0.1186058405244333, -0.16637708244250746, 1709259507826791062, 
-0.5157025088142057, -0.11253241087275641, -0.1708747103876562, 1709259507926581020, 
-0.5301152504873151, -0.10966167888798288, -0.15740634795700736, 1709259508016707376, 
-0.5444305616122163, -0.10107165668684583, -0.16274659361735225, 1709259508116606327, 
-0.5593152361259512, -0.09270530431355008, -0.1856565719808593, 1709259508227012018, 
-0.5788071255707727, -0.11021769663810628, -0.19092942594621443, 1709259508326544178, 
-0.5990334541646546, -0.14005069251078606, -0.1777938942214251, 1709259508416712688, 
-0.49736073426364735, 0.26569214890509063, -0.17573288987329255, 1709259508516255838, 
-0.5034707487654215, 0.32201925480127375, -0.19162300143317107, 1709259508626673123, 
-0.5081193033595297, -0.0339525851218056, -0.18837877378019063, 1709259508726594582, 
-0.5094566644423282, -0.020453875382549492, -0.16580870068101305, 1709259508816716039, 
-0.5121804244378004, -0.013995541216018577, -0.16065427931674237, 1709259508917049473, 
-0.5139083087827822, -0.014293819541049274, -0.17842625411457658, 1709259509026865351, 
-0.5134606916765356, -0.0022290842265096002, -0.13577658793665093, 1709259509076341530, 
-0.532264566446986, -0.04161994854242742, -0.163395373814647, 1709259509216766445, 
-0.41171806690965684, 0.2900623028637636, -0.21563674726183446, 1709259509336821454, 
-0.4201641474638559, 0.30334850258087315, -0.16729507298923776, 1709259509426627163, 
-0.42759607170458236, -0.05613012805900893, -0.14582339413557943, 1709259509526596532, 
-0.4259056386263008, -0.01852874087526498, -0.14052348546086807, 1709259509616725124, 
-0.4235227292812639, 0.014203017129129044, -0.13358326437396315, 1709259509716623811, 
-0.41993854678533726, 0.01881337371222966, -0.14811934055543952, 1709259509826612388, 
